ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
KEC,HOLD,HOLD,41,75,35,LOW,45,50,35,0,45,"RSI oversold at 22.8 (potential further downside), Low volume on downtrend (weak support), Close below lower Bollinger band",HOLD: RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support) stop: close< 801.91 (swing_low - 1.0*ATR)
PETRONET,HOLD,STRONG HOLD,24,75,0,NONE,45,50,20,0,45,No significant technical exit signals,STRONG HOLD: No significant technical exit signals stop: close< 271.01 (swing_low - 1.0*ATR)
DEEPAKNTR,HOLD,HOLD,37,75,27,LOW,45,50,35,0,45,"RSI oversold at 25.3 (potential further downside), Unusual volume spike on down move, Daily and weekly trends aligned down",HOLD: RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move stop: close< 1703.29 (swing_low - 1.0*ATR)
AURIGROW,HOLD,HOLD,32,50,5,NONE,45,50,80,0,45,High short-term volatility (ATR 4.0% of price),HOLD: High short-term volatility (ATR 4.0% of price)
SAGILITY,HOLD,STRONG HOLD,26,75,5,NONE,45,50,20,0,45,High short-term volatility (ATR 4.3% of price),STRONG HOLD: High short-term volatility (ATR 4.3% of price) stop: close< 41.17 (swing_low - 1.0*ATR)
CIPLA,HOLD,HOLD,31,75,17,NONE,45,50,20,0,45,"Unusual volume spike on down move, Daily and weekly trends aligned down",HOLD: Unusual volume spike on down move; Daily and weekly trends aligned down stop: close< 1458.95 (swing_low - 1.0*ATR)
UPL,HOLD,STRONG HOLD,24,75,0,NONE,45,50,20,0,45,No significant technical exit signals,STRONG HOLD: No significant technical exit signals stop: close< 655.90 (swing_low - 1.0*ATR)
BANARBEADS,HOLD,HOLD,32,75,5,NONE,45,50,80,0,45,High short-term volatility (ATR 5.8% of price),HOLD: High short-term volatility (ATR 5.8% of price) stop: close< 131.98 (swing_low - 1.0*ATR)
ALPA,HOLD,HOLD,38,75,20,LOW,45,50,80,0,45,Death cross: 20-day SMA below 50-day SMA (bearish),HOLD: Death cross: 20-day SMA below 50-day SMA (bearish) stop: close< 84.45 (swing_low - 1.0*ATR)
DBCORP,HOLD,HOLD,42,75,33,LOW,45,50,55,0,45,"Low volume on downtrend (weak support), Death cross: 20-day SMA below 50-day SMA (bearish), High short-term volatility (ATR 4.5% of price)",HOLD: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish) stop: close< 227.37 (swing_low - 1.0*ATR)
BFUTILITIE,MONITOR,MONITOR,63,75,80,CRITICAL,45,50,55,0,58,"Price 5.2% below 20-day SMA (breakdown), RSI oversold at 23.0 (potential further downside), Negative 10-day momentum: -6.7%",MONITOR: Price 5.2% below 20-day SMA (breakdown); RSI oversold at 23.0 (potential further downside) stop: close< 707.76 (swing_low - 1.0*ATR)
VIKRAMAR,MONITOR,MONITOR,68,75,85,CRITICAL,45,50,80,0,60,"Price 5.5% below 20-day SMA (breakdown), Price 13.5% below 50-day SMA, RSI oversold at 29.1 (potential further downside)",MONITOR: Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA stop: close< 73.13 (swing_low - 1.0*ATR)
BHEL,HOLD,STRONG HOLD,24,75,0,NONE,45,50,20,0,45,No significant technical exit signals,STRONG HOLD: No significant technical exit signals stop: close< 224.73 (swing_low - 1.0*ATR)
CAPACITE,HOLD,HOLD,36,75,20,LOW,45,50,55,0,45,Death cross: 20-day SMA below 50-day SMA (bearish),HOLD: Death cross: 20-day SMA below 50-day SMA (bearish) stop: close< 263.61 (swing_low - 1.0*ATR)
CROMPTON,HOLD,HOLD,36,75,27,LOW,45,50,20,0,45,"Death cross: 20-day SMA below 50-day SMA (bearish), Daily and weekly trends aligned down",HOLD: Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down stop: close< 274.38 (swing_low - 1.0*ATR)
DATAPATTNS,HOLD,HOLD,30,75,15,NONE,45,50,20,0,45,"Low volume on downtrend (weak support), Daily and weekly trends aligned down",HOLD: Low volume on downtrend (weak support); Daily and weekly trends aligned down stop: close< 2621.56 (swing_low - 1.0*ATR)
EASEMYTRIP,HOLD,HOLD,39,75,27,LOW,45,50,55,0,45,"Death cross: 20-day SMA below 50-day SMA (bearish), Daily and weekly trends aligned down",HOLD: Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down stop: close< 7.70 (swing_low - 1.0*ATR)
GATECHDVR,HOLD,HOLD,39,75,22,LOW,45,50,80,0,45,"Unusual volume spike on down move, High short-term volatility (ATR 5.6% of price), Daily and weekly trends aligned down",HOLD: Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price) stop: close< 0.48 (swing_low - 1.0*ATR)
HUDCO,HOLD,STRONG HOLD,24,75,0,NONE,45,50,20,0,45,No significant technical exit signals,STRONG HOLD: No significant technical exit signals stop: close< 219.09 (swing_low - 1.0*ATR)
IDBI,HOLD,STRONG HOLD,26,75,5,NONE,45,50,20,0,45,High short-term volatility (ATR 3.4% of price),STRONG HOLD: High short-term volatility (ATR 3.4% of price) stop: close< 87.77 (swing_low - 1.0*ATR)
MGL,HOLD,STRONG HOLD,28,75,7,NONE,45,50,35,0,45,Daily and weekly trends aligned down,STRONG HOLD: Daily and weekly trends aligned down stop: close< 1249.11 (swing_low - 1.0*ATR)
NBCC,HOLD,STRONG HOLD,24,75,0,NONE,45,50,20,0,45,No significant technical exit signals,STRONG HOLD: No significant technical exit signals stop: close< 106.85 (swing_low - 1.0*ATR)
RBLBANK,HOLD,STRONG HOLD,26,75,5,NONE,45,50,20,0,45,High short-term volatility (ATR 3.3% of price),STRONG HOLD: High short-term volatility (ATR 3.3% of price) stop: close< 262.74 (swing_low - 1.0*ATR)
GLENMARK,HOLD,HOLD,32,75,20,LOW,45,50,20,0,45,Death cross: 20-day SMA below 50-day SMA (bearish),HOLD: Death cross: 20-day SMA below 50-day SMA (bearish) stop: close< 1771.01 (swing_low - 1.0*ATR)
INDINFO,IMMEDIATE_EXIT,EXIT,74,75,100,CRITICAL,45,50,80,0,65,"Price 7.9% below 20-day SMA (breakdown), Price 22.6% below 50-day SMA, RSI oversold at 27.8 (potential further downside)",EXIT: Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA stop: close< 0.69 (swing_low - 1.0*ATR)
