rank,ticker,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,ACCORD,99.3,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,7,N/A,"Russia's Sergey Lavrov slams West, says ‘should've never trusted’ them, pins hopes on SCO, BRICS ami",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
2,EXCEL,98.3,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,3,N/A,"Horoscope Today, October 23, 2025: Job, Business and Money Predictions for Every Zodiac Sign - Money",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
3,AGARWALFT,98.3,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,3,N/A,"Agarwal Float Glass India Cash Flow, Agarwal Float Glass India Financial Statement & Accounts - Mone",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
4,ACL,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,"Chelsea vs Ajax: Who will win Champions League clash? AI predictions, confirmed lineups, live stream",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
5,DHARAN,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,India-UN Development Partnership Fund empowers 10 Pacific nations through solar energy - ET EnergyWo,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
6,IEL,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
7,UMAEXPORTS,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
8,AESTHETIK,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
9,A2ZINFRA,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
10,BLUECHIP,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Microsoft Azure, Galleri5 partner to drive AI leap in filmmaking - The Economic Times",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
11,FEL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Trump’s Russian oil sanctions gambit will test his tolerance for pain - Reuters,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
12,KRISHIVAL,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
13,MEP,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Why did Garuda Construction share price zoom 9% in trade today? Find here - Business Standard,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
14,PATTECH,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
15,VOLERCAR,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
16,WELINV,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,The Economic Times - The Economic Times,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
17,AAKASH,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,"Abu Dhabi T10 2025: Harbhajan Singh, Kieron Pollard, Piyush Chawla among big names - find full squad",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
18,AAREYDRUGS,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
19,AARTECH,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
20,ABAN,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Israel Tourism reaffirms Asian market focus post-ceasefire at ITB Asia 2025 - ET TravelWorld,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
21,ABHAPOWER,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
22,AGROPHOS,95.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,1,N/A,Reliance Industries Mutual Fund Share Holding | RELIANCE Mutual Fund Exposure - Mint,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
